step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
75,7371,75,1.7894200703259349,0.0,0.40789473684210525,,,
76,7444,76,0.9505718663826731,0.0,0.6545454545454545,,,
77,7573,77,1.791747372024388,0.0,0.5135135135135135,,,
78,7662,78,1.1810515498004674,0.0,0.59375,,,
79,7703,79,1.6438069834334312,0.0,0.3793103448275862,,,
80,7744,80,0.9396683239740705,0.0,0.6071428571428571,,,
81,7825,81,2.136280265761525,0.0,0.4084507042253521,1.266756225155744,0.0,0.5517241379310345
82,7978,82,1.837112471286317,0.0,0.5422535211267606,,,
83,8107,83,1.1289775186524138,0.0,0.6330275229357798,,,
84,8348,84,1.7930152932880528,0.0,0.55,,,
85,8453,85,1.93401036735042,0.0,0.4634146341463415,,,
86,8502,86,0.9271081265078827,0.0,0.56,,,
87,8543,87,1.3743006107499824,0.0,0.4827586206896552,,,
88,8576,88,1.5090776907287364,0.0,0.5555555555555556,,,
89,8689,89,1.9521021602360062,0.0,0.53,2.0970581866126623,0.0,0.509090909090909
90,8818,90,1.6803904995045742,0.0,0.46788990825688076,,,
91,9035,91,2.0779498360771074,0.0,0.47804878048780486,,,
92,9132,92,1.5509254182702716,0.0,0.4473684210526316,,,
93,9205,93,1.110698810185394,0.0,0.7017543859649122,,,
94,9254,94,1.3849150510812855,0.0,0.46875,,,
95,9415,95,1.4964650353256002,0.0,0.6447368421052632,,,
96,9488,96,2.075934534550035,0.0,0.4838709677419355,,,
97,9521,97,0.8730302616591508,0.0,0.5714285714285714,1.996037723960282,0.0,0.5131578947368421
98,9626,98,1.9283686647421459,0.0,0.4523809523809524,,,
99,9691,99,2.1534709243275394,0.0,0.49122807017543857,,,
100,9756,100,1.1982926405963372,0.0,0.525,,,
101,9813,101,0.974092676188697,0.0,0.5853658536585366,,,
102,9934,102,1.7698681185848837,0.0,0.5221238938053098,,,
103,10087,103,1.7427477796112782,0.0,0.5036496350364964,,,
104,10192,104,1.5912518751691882,0.0,0.47435897435897434,,,
105,10273,105,1.8316671898239294,0.0,0.5,1.463100373880705,0.0,0.34615384615384615
106,10330,106,1.256307763678654,0.0,0.575,,,
107,10395,107,2.3816619062230893,0.0,0.4074074074074074,,,
108,10484,108,1.521384735213651,0.0,0.5857142857142857,,,
109,10541,109,1.905581496902076,0.0,0.45652173913043476,,,
110,10678,110,2.139352010212366,0.0,0.4583333333333333,,,
111,10791,111,1.5878505029718533,0.0,0.5959595959595959,,,
112,10936,112,1.8137228556749565,0.0,0.4789915966386555,,,
113,11089,113,2.2801886549368646,0.0,0.5217391304347826,1.8738860360687166,0.0,0.44680851063829785
114,11274,114,1.854372599463982,0.0,0.47619047619047616,,,
115,11491,115,1.2317750602525201,0.0,0.6470588235294118,,,
116,11604,116,2.0177572735892966,0.0,0.4606741573033708,,,
117,11669,117,1.9592214528344267,0.0,0.47368421052631576,,,
118,11782,118,1.7640459252987692,0.0,0.48936170212765956,,,
119,11911,119,1.7347622532584512,0.0,0.5213675213675214,,,
120,12080,120,2.066288495298015,0.0,0.5064935064935064,,,
121,12177,121,1.9316266663548838,0.0,0.47058823529411764,1.7795802483193606,0.0,0.4727272727272727
122,12266,122,1.8082367229557903,0.0,0.5,,,
123,12299,123,1.0131839415465675,0.0,0.7368421052631579,,,
124,12380,124,1.486202763362173,0.0,0.6078431372549019,,,
125,12437,125,1.7273682328167341,0.0,0.39473684210526316,,,
126,12566,126,2.630351475101078,0.0,0.4152542372881356,,,
127,12671,127,2.3118982529641374,0.0,0.4186046511627907,,,
128,12744,128,2.237775325667171,0.0,0.46774193548387094,,,
129,12865,129,1.7060290179751743,0.0,0.5663716814159292,1.8389015557642208,0.0,0.40476190476190477
